,0,,,,
0,wikidata_data/101 topics\Algorithms.txt,Algorithms.txt,Algorithms,Q8366,#N/A
1,wikidata_data/101 topics\Book-Recommendations.txt,Book-Recommendations.txt,Book-Recommendations,#N/A,#N/A
2,wikidata_data/101 topics\Business-49.txt,Business-49.txt,Business-49,Q4830453,#N/A
3,wikidata_data/101 topics\Business-Strategy.txt,Business-Strategy.txt,Business-Strategy,Q20014942,#N/A
4,wikidata_data/101 topics\Career-Advice.txt,Career-Advice.txt,Career-Advice,Q741939,#N/A
5,wikidata_data/101 topics\Clothing-and-Apparel.txt,Clothing-and-Apparel.txt,Clothing-and-Apparel,Q11460,#N/A
6,wikidata_data/101 topics\Comedy.txt,Comedy.txt,Comedy,Q40831,#N/A
7,wikidata_data/101 topics\Computer-Programming.txt,Computer-Programming.txt,Computer-Programming,Q80006,#N/A
8,wikidata_data/101 topics\Computer-Science.txt,Computer-Science.txt,Computer-Science,Q21198,science
9,wikidata_data/101 topics\Cooking.txt,Cooking.txt,Cooking,Q38695,#N/A
10,wikidata_data/101 topics\Dating-Advice.txt,Dating-Advice.txt,Dating-Advice,Q654810,#N/A
11,wikidata_data/101 topics\Dating-and-Relationships-1.txt,Dating-and-Relationships-1.txt,Dating-and-Relationships-1,Q654810,#N/A
12,wikidata_data/101 topics\Design.txt,Design.txt,Design,Q82604,#N/A
13,wikidata_data/101 topics\Digital-Photography.txt,Digital-Photography.txt,Digital-Photography,Q173095,#N/A
14,wikidata_data/101 topics\Economics.txt,Economics.txt,Economics,Q8134,science
15,wikidata_data/101 topics\Education-Schools-and-Learning.txt,Education-Schools-and-Learning.txt,Education-Schools-and-Learning,#N/A,#N/A
16,wikidata_data/101 topics\Education.txt,Education.txt,Education,Q8434,#N/A
17,wikidata_data/101 topics\Entrepreneurship.txt,Entrepreneurship.txt,Entrepreneurship,Q3908516,#N/A
18,wikidata_data/101 topics\Exercise.txt,Exercise.txt,Exercise,Q29051769,#N/A
19,wikidata_data/101 topics\Facebook-product.txt,Facebook-product.txt,Facebook-product,Q355,#N/A
20,wikidata_data/101 topics\Fiction.txt,Fiction.txt,Fiction,Q8253,#N/A
21,wikidata_data/101 topics\Finance.txt,Finance.txt,Finance,Q43015,condition
22,wikidata_data/101 topics\Fine-Art.txt,Fine-Art.txt,Fine-Art,Q219625,#N/A
23,wikidata_data/101 topics\Food.txt,Food.txt,Food,Q2095,#N/A
24,wikidata_data/101 topics\Friendship.txt,Friendship.txt,Friendship,Q491,#N/A
25,wikidata_data/101 topics\Google-company-5.txt,Google-company-5.txt,Google-company-5,Q95,#N/A
26,wikidata_data/101 topics\Government.txt,Government.txt,Government,Q7188,#N/A
27,wikidata_data/101 topics\Graduate-School-Education.txt,Graduate-School-Education.txt,Graduate-School-Education,Q20820271,#N/A
28,wikidata_data/101 topics\Health.txt,Health.txt,Health,Q12147,physiological condition
29,wikidata_data/101 topics\Healthy-Eating.txt,Healthy-Eating.txt,Healthy-Eating,#N/A,#N/A
30,wikidata_data/101 topics\Healthy-Living.txt,Healthy-Living.txt,Healthy-Living,Q1851928,#N/A
31,wikidata_data/101 topics\Higher-Education.txt,Higher-Education.txt,Higher-Education,Q136822,#N/A
32,wikidata_data/101 topics\History-of-the-United-States-of-America.txt,History-of-the-United-States-of-America.txt,History-of-the-United-States-of-America,Q131110,#N/A
33,wikidata_data/101 topics\History.txt,History.txt,History,Q309,#N/A
34,wikidata_data/101 topics\Hollywood.txt,Hollywood.txt,Hollywood,Q34006,#N/A
35,wikidata_data/101 topics\Humor.txt,Humor.txt,Humor,Q35874,#N/A
36,wikidata_data/101 topics\International-Relations-3.txt,International-Relations-3.txt,International-Relations-3,Q166542,#N/A
37,wikidata_data/101 topics\International-Travel.txt,International-Travel.txt,International-Travel,Q4288584,#N/A
38,wikidata_data/101 topics\Interpersonal-Interaction.txt,Interpersonal-Interaction.txt,Interpersonal-Interaction,Q223642,#N/A
39,wikidata_data/101 topics\Investing.txt,Investing.txt,Investing,Q4290,industry
40,wikidata_data/101 topics\Journalism.txt,Journalism.txt,Journalism,Q11030,#N/A
41,wikidata_data/101 topics\Lean-Startups.txt,Lean-Startups.txt,Lean-Startups,Q864703,#N/A
42,wikidata_data/101 topics\Learning.txt,Learning.txt,Learning,Q133500,#N/A
43,wikidata_data/101 topics\Life-Advice.txt,Life-Advice.txt,Life-Advice,#N/A,#N/A
44,wikidata_data/101 topics\Life-Lessons.txt,Life-Lessons.txt,Life-Lessons,#N/A,#N/A
45,wikidata_data/101 topics\Literary-Fiction.txt,Literary-Fiction.txt,Literary-Fiction,Q6647667,#N/A
46,wikidata_data/101 topics\Literature.txt,Literature.txt,Literature,Q8242,#N/A
47,wikidata_data/101 topics\Love.txt,Love.txt,Love,Q316,#N/A
48,wikidata_data/101 topics\Machine-Learning.txt,Machine-Learning.txt,Machine-Learning,Q2539,#N/A
49,wikidata_data/101 topics\Marketing.txt,Marketing.txt,Marketing,Q39809,#N/A
50,wikidata_data/101 topics\Marriage.txt,Marriage.txt,Marriage,Q8445,occurrence
51,wikidata_data/101 topics\Mathematics.txt,Mathematics.txt,Mathematics,Q395,science
52,wikidata_data/101 topics\Medicine-and-Healthcare.txt,Medicine-and-Healthcare.txt,Medicine-and-Healthcare,Q11190,science
53,wikidata_data/101 topics\Mental-Health.txt,Mental-Health.txt,Mental-Health,Q317309,#N/A
54,wikidata_data/101 topics\Mobile-Phones.txt,Mobile-Phones.txt,Mobile-Phones,Q17517,device
55,wikidata_data/101 topics\Money.txt,Money.txt,Money,Q1368,#N/A
56,wikidata_data/101 topics\Movies.txt,Movies.txt,Movies,Q11424,visual artwork
57,wikidata_data/101 topics\Music.txt,Music.txt,Music,Q638,entertainment
58,wikidata_data/101 topics\Musicians.txt,Musicians.txt,Musicians,Q639669,#N/A
59,wikidata_data/101 topics\Neuroscience-1.txt,Neuroscience-1.txt,Neuroscience-1,Q207011,#N/A
60,wikidata_data/101 topics\Nutrition.txt,Nutrition.txt,Nutrition,Q2138622,#N/A
61,wikidata_data/101 topics\Philosophy.txt,Philosophy.txt,Philosophy,Q5891,type
62,wikidata_data/101 topics\Photography.txt,Photography.txt,Photography,Q11633,#N/A
63,wikidata_data/101 topics\Physics.txt,Physics.txt,Physics,Q413,science
64,wikidata_data/101 topics\Politics.txt,Politics.txt,Politics,Q7163,occurrence
65,wikidata_data/101 topics\Product-Design-of-Physical-Goods.txt,Product-Design-of-Physical-Goods.txt,Product-Design-of-Physical-Goods,Q1043226,#N/A
66,wikidata_data/101 topics\Programming-Languages.txt,Programming-Languages.txt,Programming-Languages,Q9143,class
67,wikidata_data/101 topics\Quora.txt,Quora.txt,Quora,#N/A,#N/A
68,wikidata_data/101 topics\Reading-1.txt,Reading-1.txt,Reading-1,Q199657,#N/A
69,wikidata_data/101 topics\Recipes.txt,Recipes.txt,Recipes,Q219239,#N/A
70,wikidata_data/101 topics\Religion.txt,Religion.txt,Religion,Q9174,#N/A
71,wikidata_data/101 topics\Restaurants.txt,Restaurants.txt,Restaurants,Q11707,#N/A
72,wikidata_data/101 topics\Rock-Music.txt,Rock-Music.txt,Rock-Music,Q11399,#N/A
73,wikidata_data/101 topics\Science.txt,Science.txt,Science,Q336,#N/A
74,wikidata_data/101 topics\Scientific-Research.txt,Scientific-Research.txt,Scientific-Research,Q42240,#N/A
75,wikidata_data/101 topics\Self-Improvement.txt,Self-Improvement.txt,Self-Improvement,Q6498453,#N/A
76,wikidata_data/101 topics\Small-Businesses.txt,Small-Businesses.txt,Small-Businesses,Q1109680,#N/A
77,wikidata_data/101 topics\Social-Advice.txt,Social-Advice.txt,Social-Advice,#N/A,#N/A
78,wikidata_data/101 topics\Social-Psychology.txt,Social-Psychology.txt,Social-Psychology,Q161272,science
79,wikidata_data/101 topics\Software-Engineering.txt,Software-Engineering.txt,Software-Engineering,Q80993,#N/A
80,wikidata_data/101 topics\Sports.txt,Sports.txt,Sports,Q349,#N/A
81,wikidata_data/101 topics\Startup-Advice-and-Strategy.txt,Startup-Advice-and-Strategy.txt,Startup-Advice-and-Strategy,#N/A,#N/A
82,wikidata_data/101 topics\Startup-Founders-and-Entrepreneurs.txt,Startup-Founders-and-Entrepreneurs.txt,Startup-Founders-and-Entrepreneurs,#N/A,#N/A
83,wikidata_data/101 topics\Startups.txt,Startups.txt,Startups,Q129238,#N/A
84,wikidata_data/101 topics\Technology-Trends.txt,Technology-Trends.txt,Technology-Trends,Q7692599,#N/A
85,wikidata_data/101 topics\Technology.txt,Technology.txt,Technology,Q11016,#N/A
86,wikidata_data/101 topics\Television-Series.txt,Television-Series.txt,Television-Series,Q15416,#N/A
87,wikidata_data/101 topics\Television.txt,Television.txt,Television,Q289,#N/A
88,wikidata_data/101 topics\The-College-and-University-Experience.txt,The-College-and-University-Experience.txt,The-College-and-University-Experience,#N/A,#N/A
89,wikidata_data/101 topics\The-Universe.txt,The-Universe.txt,The-Universe,Q1,#N/A
90,wikidata_data/101 topics\Tips-and-Hacks-for-Everyday-Life.txt,Tips-and-Hacks-for-Everyday-Life.txt,Tips-and-Hacks-for-Everyday-Life,#N/A,#N/A
91,wikidata_data/101 topics\Tourism.txt,Tourism.txt,Tourism,Q49389,#N/A
92,wikidata_data/101 topics\User-Interfaces.txt,User-Interfaces.txt,User-Interfaces,Q47146,#N/A
93,wikidata_data/101 topics\Vacations.txt,Vacations.txt,Vacations,Q116213,#N/A
94,wikidata_data/101 topics\Venture-Capital.txt,Venture-Capital.txt,Venture-Capital,Q219409,#N/A
95,wikidata_data/101 topics\Visiting-and-Travel-1.txt,Visiting-and-Travel-1.txt,Visiting-and-Travel-1,Q61509,#N/A
96,wikidata_data/101 topics\Web-Design.txt,Web-Design.txt,Web-Design,Q190637,#N/A
97,wikidata_data/101 topics\World-History.txt,World-History.txt,World-History,Q6457238,#N/A
98,wikidata_data/101 topics\World-War-II.txt,World-War-II.txt,World-War-II,Q362,historical period
99,wikidata_data/101 topics\Writing.txt,Writing.txt,Writing,Q37260,#N/A
100,wikidata_data/101 topics\YouTube.txt,YouTube.txt,YouTube,Q866,#N/A
